method,n,m,time_sec
Nystrom,100,10,0.0003609657287597656
Nystrom,152,12,0.00015997886657714844
Nystrom,232,15,0.00017905235290527344
Nystrom,354,18,0.0003342628479003906
Nystrom,539,23,0.0004165172576904297
Nystrom,822,28,0.0009527206420898438
Nystrom,1253,35,0.0019440650939941406
Nystrom,1910,43,0.0035262107849121094
Nystrom,2911,53,0.009006023406982422
Nystrom,4436,66,0.015447854995727539
Nystrom,6761,82,0.02765965461730957
Nystrom,10305,101,0.04073071479797363
Nystrom,15706,125,0.10515546798706055
Nystrom,23937,154,0.16352462768554688
Nystrom,36482,191,0.2742288112640381
Nystrom,55602,235,0.44033002853393555
Nystrom,84742,291,0.7530336380004883
Nystrom,129154,359,1.4535765647888184
Nystrom,196840,443,3.354564905166626
Nystrom,300000,547,6.647145509719849
