method,m,time_sec,rel_err
SVGP-GPyTorch,100,34.334638357162476,0.2546198085151409
SVGP-GPyTorch,129,49.702965259552,0.2417684634857938
SVGP-GPyTorch,166,64.46845507621765,0.23320156490718827
SVGP-GPyTorch,215,90.8160994052887,0.2174193153326668
SVGP-GPyTorch,278,134.05222749710083,0.22758573429065768
SVGP-GPyTorch,359,177.92613983154297,0.20744373445465877
SVGP-GPyTorch,464,254.97930192947388,0.19520696937444337
SVGP-GPyTorch,599,372.96893525123596,0.19545612106643184
SVGP-GPyTorch,774,543.5428204536438,0.19823516151194226
SVGP-GPyTorch,1000,791.8407490253448,0.19830040200061727
