m,train_s,predict_s,total_s,rel_err
138,0.9873631000518799,0.009491920471191406,0.9968550205230713,0.16224719040556637
192,1.1104631423950195,0.017453908920288086,1.1279170513153076,0.15317472288251296
266,1.3831322193145752,0.016422748565673828,1.399554967880249,0.14017712636103655
370,1.6564733982086182,0.01753520965576172,1.6740086078643799,0.12926879853932483
513,2.1858553886413574,0.019063711166381836,2.2049190998077393,0.11617502132713532
711,2.951882839202881,0.022841930389404297,2.974724769592285,0.10728503383107217
987,3.760971784591675,0.026807785034179688,3.7877795696258545,0.09836432684375374
1369,5.149386167526245,0.031992197036743164,5.181378364562988,0.09140224778972898
1898,6.853585243225098,0.040389299392700195,6.893974542617798,0.08448258494479009
2633,9.631521224975586,0.05056476593017578,9.682085990905762,0.08053448032918355
3652,13.532389163970947,0.06594157218933105,13.598330736160278,0.07968387041663562
5065,19.569382190704346,0.08637475967407227,19.655756950378418,0.07709174389058236
7025,29.307388305664062,0.11578488349914551,29.423173189163208,0.07045666624455061
