method,n,m,time_sec
Falkon,100,10,0.011099576950073242
Falkon,152,12,0.012624740600585938
Falkon,232,15,0.018433094024658203
Falkon,354,18,0.018671274185180664
Falkon,539,23,0.02169966697692871
Falkon,822,28,0.0073451995849609375
Falkon,1253,35,0.007380008697509766
Falkon,1910,43,0.00973820686340332
Falkon,2911,53,0.01473546028137207
Falkon,4436,66,0.028261899948120117
Falkon,6761,82,0.18116164207458496
Falkon,10305,101,0.315814733505249
Falkon,15706,125,0.4580531120300293
Falkon,23937,154,0.9182381629943848
Falkon,36482,191,1.3853061199188232
Falkon,55602,235,1.2368218898773193
Falkon,84742,291,2.269181728363037
Falkon,129154,359,3.8556761741638184
Falkon,196840,443,8.653063535690308
Falkon,300000,547,20.2845139503479
